business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Aarsh Multispecility Nursing Home || Emergency Hospital In Sasaram | Top Doctor In Sasaram,Healthcare Clinic Chains,Hospital,Hospital,845107,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Valmiki Nagar SO, Champapur Gonauli BO, Laxmipur Bherihari BO",+91 90061 17060,http://www.aarshhealthcare.com/,4.9,,"Ke Samne, Sasaram-Rauza Rd, Sadar Hospital Rd, Sasaram, Bihar 821115",Laxkariganj,24.9521411,84.0122106,ChIJ667I8Em3jTkRVewDKOxN_fE,https://www.google.com/maps/place/?q=place_id:ChIJ667I8Em3jTkRVewDKOxN_fE,part_394,2026-09-20 20:38:39
Dr Babita Agarwal,Healthcare Clinic Chains,Obstetrician-gynecologist,Obstetrician-gynecologist,845107,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Valmiki Nagar SO, Champapur Gonauli BO, Laxmipur Bherihari BO",+91 63889 60632,N/A,4.9,418.0,"Shriyan Hospital, श्रीयन हॉस्पिटल, छात्र संग चौराहा, 34 Kasiya Road, Chatrasangh Chauraha, next to Raj Eye Hospital, Gorakhpur, Uttar Pradesh 273001",Bilandpur,26.7451932,83.3791614,ChIJeSNJqlpFkTkR-_oyUItbIGs,https://www.google.com/maps/place/?q=place_id:ChIJeSNJqlpFkTkR-_oyUItbIGs,part_394,2026-09-20 20:38:39
Sardar Patel Hospital,Healthcare Clinic Chains,Specialized hospital,"Specialized hospital, Orthopedic surgeon",845107,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Valmiki Nagar SO, Champapur Gonauli BO, Laxmipur Bherihari BO",+91 63905 18682,N/A,5.0,,"Civil lines, near chhatra sangh bhawan chauraha, Kalepur, Gorakhpur, Uttar Pradesh 273001",Kalepur,26.745442699999998,83.3785805,ChIJgXHKRTVFkTkR2SkJPQBF22s,https://www.google.com/maps/place/?q=place_id:ChIJgXHKRTVFkTkR2SkJPQBF22s,part_394,2026-09-20 20:38:39
Health Care Homoeo Clinic,Healthcare Clinic Chains,Medical clinic,Medical clinic,845107,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Valmiki Nagar SO, Champapur Gonauli BO, Laxmipur Bherihari BO",N/A,N/A,,,"XRPR+FH5, Arha-Sheikhpura Rd, Daudpur Itwa, Bihar 811301",845107,24.986134399999997,85.8414823,ChIJrbw4V9ZO8jkRcb2q85WIdp0,https://www.google.com/maps/place/?q=place_id:ChIJrbw4V9ZO8jkRcb2q85WIdp0,part_394,2026-09-20 20:38:39
INDIA HEALTH CARE CLINIC,Healthcare Clinic Chains,Medical clinic,Medical clinic,845107,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Valmiki Nagar SO, Champapur Gonauli BO, Laxmipur Bherihari BO",N/A,N/A,,,"Ghosai, Bihar 852213",845107,25.542680599999997,87.0178842,ChIJ7SYHbjYp8DkRUsq0oCvuVpo,https://www.google.com/maps/place/?q=place_id:ChIJ7SYHbjYp8DkRUsq0oCvuVpo,part_394,2026-09-20 20:38:39
LIFE CARE HOMOEO CLINIC,Healthcare Clinic Chains,Medical clinic,Medical clinic,845107,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Valmiki Nagar SO, Champapur Gonauli BO, Laxmipur Bherihari BO",N/A,N/A,5.0,2.0,"R35Q+VW5, Tilouthu East, Bihar 821312",845107,24.809635,84.0898658,ChIJKbBjZgCzjTkRf-ZxnId6c50,https://www.google.com/maps/place/?q=place_id:ChIJKbBjZgCzjTkRf-ZxnId6c50,part_394,2026-09-20 20:38:39
Life Care clinic,Healthcare Clinic Chains,Medical Center,Medical Center,845107,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Valmiki Nagar SO, Champapur Gonauli BO, Laxmipur Bherihari BO",N/A,N/A,,,"near police station, Piprakothi, Bihar 845429",845107,26.5465807,84.9388299,ChIJZzmMXwAzkzkRRUkweu7_jUw,https://www.google.com/maps/place/?q=place_id:ChIJZzmMXwAzkzkRRUkweu7_jUw,part_394,2026-09-20 20:38:39
Health Care Clinic,Healthcare Clinic Chains,Hospital,Hospital,845107,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Valmiki Nagar SO, Champapur Gonauli BO, Laxmipur Bherihari BO",N/A,N/A,4.0,2.0,"C9RV+VCV, Khaira, Bihar 824221",845107,24.4422484,84.39355719999999,ChIJVf3GsiHzjDkRhPw3djhfs4k,https://www.google.com/maps/place/?q=place_id:ChIJVf3GsiHzjDkRhPw3djhfs4k,part_394,2026-09-20 20:38:39
Life care Clinic,Healthcare Clinic Chains,Medical clinic,Medical clinic,845107,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Valmiki Nagar SO, Champapur Gonauli BO, Laxmipur Bherihari BO",+91 97210 05680,N/A,5.0,1.0,"W4JV+75V, Baragaon, Maniyar Road, Bada Gaon, Uttar Pradesh 277302",845107,25.9305609,84.1425024,ChIJv9bWp0tdkjkRiWezHW3xHFA,https://www.google.com/maps/place/?q=place_id:ChIJv9bWp0tdkjkRiWezHW3xHFA,part_394,2026-09-20 20:38:39
Health care clinic,Healthcare Clinic Chains,Hospital,Hospital,845107,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Valmiki Nagar SO, Champapur Gonauli BO, Laxmipur Bherihari BO",N/A,N/A,2.0,1.0,"P5XR+56P, Ghuja, Bihar 824304",845107,24.7479583,84.19059,ChIJW2NmLoFUjDkRgroawgU2qqM,https://www.google.com/maps/place/?q=place_id:ChIJW2NmLoFUjDkRgroawgU2qqM,part_394,2026-09-20 20:38:39
